,NOMBRE,DIRECCION,BARRIO,COCINA,SITUACION,TERRAZA,SUPERFICIE_OCUPADA,RATING,NUM_OPINIONES,PRECIO,LONGITUD,LATITUD
611,La Chelinda - Enric Granados,"C. ENRIC GRANADOS, 9",l'Antiga Esquerra de l'Eixample,MEXICANO,None,Si,15.75,8.5,185,15,2.16235,41.3877
612,La Chula Cervecería Mexicana,"C. ROSSELLO, 483",la Sagrada Família,MEXICANO,None,Si,2.0,0.0,0,16,2.17583,41.40737
613,La Clara,"G.V.. CORTS CATALANES, 442",Sant Antoni,MEDITERRANEO,None,No,None,0.0,0,22,2.15395,41.37834
614,La Clotenca,"C. CLOT, 49",el Clot,Sin información,Cerrado,No,None,0.0,0,20,2.18809,41.40779
615,La Colosal Tapas & Cocktails,"RBLA. CATALUNYA, 23",la Dreta de l'Eixample,MEDITERRANEO,Abierto,Si,32.4,8.2,64,24,2.16624,41.38887
616,La Crema Canela,"PTGE. MADOZ, 6",el Barri Gòtic,MEDITERRANEO,None,Si,9.0,0.0,0,20,2.17476,41.38045
617,La Cuchara del Norte,"C. VILLARROEL, 106",l'Antiga Esquerra de l'Eixample,MEDITERRANEO,Abierto,Si,4.5,0.0,0,20,2.15678,41.38536
618,La Cuina,"C. BUENOS AIRES, 16",l'Antiga Esquerra de l'Eixample,MEDITERRANEO,None,Si,6.75,0.0,0,12,2.14561,41.39122
619,La Cuina de Laietana,"VIA. LAIETANA, 71",el Barri Gòtic,MEDITERRANEO,Abierto,No,None,9.2,390,25,2.17286,41.38829
620,La Cuina de l'Uribou,"C. TAQUIGRAF SERRA, 26",les Corts,INSIDER,Cerrado,No,None,0.0,0,30,2.14055,41.38677
621,La Dentellière,"C. AMPLE, 26",el Barri Gòtic,MEDITERRANEO,None,No,None,0.0,0,24,2.17999,41.38037
622,"La Distributrice ""Real and Healthy Food""","C. COMTE URGELL, 130",l'Antiga Esquerra de l'Eixample,MEDITERRANEO,None,Si,2.85,9.5,215,15,2.1554,41.38476
623,La Dolça Herminia,"C. MAGDALENES, 27",el Barri Gòtic,MEDITERRANEO,None,No,None,8.8,146,25,2.17446,41.38665
624,La Estrella,"C. OCATA, 6","Sant Pere, Santa Caterina i la Ribera",MEDITERRANEO,None,No,None,9.6,689,20,2.18509,41.3838
625,La Factoria Celta,"C. CLOT, 191",Navas,ESPAÑOL,None,Si,9.0,0.0,0,30,2.19103,41.41574
626,La Fianna,"C. MANRESA, 4","Sant Pere, Santa Caterina i la Ribera",INTERNACIONAL,Cerrado,No,None,0.0,0,32,2.18034,41.3834
627,La Flor de la Canela,"C. WATT, 8",Sants,PERUANO,None,No,None,8.2,84,18,2.13983,41.37583
628,La Focaccia,"C. CASTELLNOU, 44",les Tres Torres,ITALIANO,None,No,None,0.0,0,30,2.12907,41.3963
629,La Foixarda del Poble,"AV. FRANCESC FERRER I GUARDIA, 13",el Poble-sec,MEDITERRANEO,None,No,None,0.0,0,25,2.14674,41.36914
630,La Fonda,"C. ESCUDELLERS, 10",el Barri Gòtic,MEDITERRANEO,None,No,None,0.0,0,20,2.17621,41.37941
631,La Fonda del Port Olímpic,"MOLL GREGAL, 7",la Vila Olímpica del Poblenou,ESPAÑOL,None,No,None,8.8,1166,36,2.20169,41.38842
632,La Font de Prades,"AV. FRANCESC FERRER I GUARDIA, 13",el Poble-sec,CATALAN,None,No,None,9.1,210,30,2.14674,41.36914
