Outlet,St. type,Street,Number,Postal code,Latitude,Longitude,Municipality,Situation,Date
FUNDACIO ARED,CR,ZAMORA,103,08018,41.39627,2.18942,BARCELONA,Abierto con normalidad,2021-04-09
CATERING SALTA,CR,ZAMORA,103,08018,41.39627,2.18942,BARCELONA,Abierto con normalidad,2021-04-09
TAGLIATELLA PALAU DEL MAR,PZ,PAU VILA,1,08039,41.38129,2.18593,BARCELONA,Abierto con normalidad,2021-04-27
FLASH&FLASH TORTILLERIA,CR,GRANADA DEL PENEDES,25,08006,41.39664,2.15219,BARCELONA,Abierto con normalidad,2021-04-29
IL GIARDINETTO,CR,GRANADA DEL PENEDES,22,08006,41.39699,2.15284,BARCELONA,Abierto con normalidad,2021-04-29
LOS HERMANOS,CL,VILLARROEL,26,08011,41.38157,2.16156,BARCELONA,Abierto con normalidad,2021-04-27
ESCOLA HOTELERIA I TURISME BCN,CR,PINTOR ALSAMORA,3,08016,41.43420,2.18101,BARCELONA,Abierto con normalidad,2021-04-15
SUPER ALIMENTACION PARALEL,AV,PARAL.LEL,153,08004,41.37496,2.15718,BARCELONA,Abierto con normalidad,2021-04-26
FRUTERIA ALIMENTACION,CL,SANT PACIA,23,08001,41.37762,2.16747,BARCELONA,Cerrado estacional,2020-10-22
SUPER BHATTI,CL,SANT PACIA,5,08001,41.37801,2.16796,BARCELONA,Abierto con normalidad,2021-04-23
BAR DELTA,CR,SICILIA,111,08013,41.39620,2.18059,BARCELONA,Abierto con normalidad,2021-04-30
TABERNA DEL BON MENJAR,PS,FABRA I PUIG,385,08031,41.43328,2.16322,BARCELONA,NS/NC,2021-04-26
BAR AQUI EM QUEDO,CR,JUAN DE GARAY,4,08041,41.41769,2.18076,BARCELONA,Abierto con normalidad,2021-04-29
KE BO,CL,GRAN VIA DE LES CORTS CATALANES,230,08004,41.36998,2.14264,BARCELONA,Abierto con normalidad,2021-04-28
LA FUSTA,PS,COLOM,8,08002,41.38021,2.18115,BARCELONA,Abierto con normalidad,2021-04-26
CAMARASA FRUITS,AV,DIAGONAL,557,08029,41.38999,2.13482,BARCELONA,Abierto con normalidad,2021-04-26
NOVA GALIZA,CL,CALABRIA,224,08029,41.38525,2.14762,BARCELONA,Abierto con normalidad,2021-04-28
EURO SUPER ALIMENTACION,CR,JOAQUIN COSTA,60,08001,41.38352,2.16476,BARCELONA,Abierto con normalidad,2021-04-23
SUSPIROS,CR,PERE TERRE I DOMENECH,13,08027,41.42563,2.19236,BARCELONA,Abierto con normalidad,2020-07-31
EL OTRO MORDISCO,CR,VALENCIA,225,08007,41.39108,2.16114,BARCELONA,Cierre definitivo por Covid,2020-08-27
BAR VIU,CL,PERLA,26,08012,41.40383,2.15778,BARCELONA,Cerrado temporalmente por COVID,2021-02-09
RTE.CASA JULIO,CR,SANT GERMA,18,08004,41.37171,2.14666,BARCELONA,Abierto con normalidad,2021-04-28
BAR PLIS-PLAS,CR,SELVA,55,08016,41.43615,2.17566,BARCELONA,Abierto con normalidad,2021-04-14
LA FOLIE,CL,SANT ANTONI MARIA CLARET,514,08027,41.42178,2.18857,BARCELONA,Abierto con normalidad,2021-03-24
SUPER DESCUENTO,PS,SANT JOAN,72,08009,41.39698,2.17287,BARCELONA,Abierto con normalidad,2021-04-30
AUTOSERVEI 24 HORAS,CL,VILA I VILA,64,08004,41.37416,2.16892,BARCELONA,Abierto con normalidad,2021-04-30
BAR GALLART,CR,BAILEN,108,08009,41.39722,2.17024,BARCELONA,Cierre definitivo por Covid,2020-08-06
BON SUPERMERCAT RIBES,CR,RIBES,29,08013,41.39486,2.18178,BARCELONA,Abierto con normalidad,2021-04-21
FORN MOLY,CR,ROGER DE FLOR,226,08025,41.40112,2.16963,BARCELONA,Cierre definitivo por Covid,2021-02-15
BOCATAS DEL SULTAN,CR,JOAQUIN COSTA,56,08001,41.38326,2.16502,BARCELONA,Abierto con normalidad,2021-02-17
CHESTER,CL,RASET,47,08021,41.39857,2.13966,BARCELONA,Abierto con normalidad,2021-04-28
BAR CAFETERIA CLASSIC,AV,MERIDIANA,34,08018,41.39556,2.18699,BARCELONA,Abierto con normalidad,2021-04-29
BAR LLUMI,CR,VERDI,311,08024,41.41131,2.14974,BARCELONA,Cierre definitivo por Covid,2021-03-25
"FRUTAS, VERDURAS Y ALIMENTACIÓN",CL,HUELVA,76,08020,41.41767,2.19655,BARCELONA,Abierto con normalidad,2021-04-26
AMSTERDAM ARAGO,CR,ARAGO,305,08009,41.39465,2.16821,BARCELONA,Abierto con normalidad,2021-04-28
BAR ELOY,CR,TAMARIT,145,08015,41.37794,2.15992,BARCELONA,Abierto con normalidad,2021-04-28
GRANJA ELENAS-COMPANYS,CR,"PLATJA D'ARO",6,08033,41.44864,2.18720,BARCELONA,Abierto con normalidad,2021-04-29
ALIMENTACION 32.,CL,CARRETES,32,08001,41.37783,2.16683,BARCELONA,Abierto con normalidad,2020-11-26
BAR ROCK,PTG,NOGUES,3,08025,41.40733,2.16704,BARCELONA,Cerrado estacional,2020-09-14
REST.JAPONES GOKOKU,CL,DIPUTACIO,172,08011,41.38429,2.15884,BARCELONA,Abierto con normalidad,2021-04-28
BAR NIKE,CR,PROVENÇA,539,08025,41.40843,2.17977,BARCELONA,Abierto con normalidad,2021-04-27
SUPERMERCAT,CL,ARQUITECTE SERT,7,08005,41.39128,2.19863,BARCELONA,Abierto con normalidad,2021-04-27
MANNAT ALIMENTACION,PZ,REVOLUCIO DE SETEMBRE DE 1868,12,08012,41.40266,2.15796,BARCELONA,Abierto con normalidad,2021-04-29
BAR LA COVA,CR,MARQUES DE CAMPO SAGRADO,28,08015,41.37657,2.16502,BARCELONA,Abierto con normalidad,2021-04-27
RTE. CASA ARANA,CR,PONS I GALLARZA,5,08030,41.43537,2.18913,BARCELONA,Abierto con normalidad,2021-04-27
LA BOCATERIA DE MITRE,RDA,GENERAL MITRE,152,08006,41.40377,2.13932,BARCELONA,Cierre definitivo por Covid,2021-02-24
"L'ESPILL-62",CR,BRUC,62,08009,41.39306,2.17122,BARCELONA,Abierto con normalidad,2021-04-28
SOMNIA,CL,MONTSERRAT,13,08001,41.37711,2.17503,BARCELONA,Abierto con normalidad,2021-03-31
BAR EL RACO DELS AMICS,AV,MERIDIANA,302,08027,41.42323,2.18704,BARCELONA,Abierto con normalidad,2021-04-23
EL RACO DE CAN RICART,CR,ESPRONCEDA,187,08018,41.40936,2.19935,BARCELONA,Abierto con normalidad,2021-04-23
RUSTIK,CR,SANT PAU,90,08001,41.37693,2.16981,BARCELONA,Cierre definitivo por Covid,2020-12-16
CAFÈ ALTAÏR,CL,GRAN VIA DE LES CORTS CATALANES,616,08007,41.38777,2.16638,BARCELONA,Abierto con normalidad,2021-04-28
RTE CAN OLIVA,AV,DIAGONAL,109,08005,41.40734,2.20359,BARCELONA,Abierto con normalidad,2021-04-28
MIYAZAKI SUSHI,CL,VALENCIA,11,08015,41.38003,2.14649,BARCELONA,Abierto con normalidad,2021-04-29
RTE ASIATIC YUAN MAN,CR,GIRONA,127,08037,41.39775,2.16730,BARCELONA,Abierto con normalidad,2021-04-28
BAR LA OCA,RB,PRIM,35,08019,41.41301,2.21678,BARCELONA,Abierto con normalidad,2021-04-28
BOHEME,PZ,LESSEPS,23,08023,41.40696,2.14921,BARCELONA,Abierto con normalidad,2021-02-22
BAR RTE.007,CR,GARCILASO,20,08027,41.42259,2.19026,BARCELONA,Abierto con normalidad,2021-04-23
SUPER ALIMENTACION,CR,SANT FRANCESC XAVIER,41,08016,41.44079,2.17955,BARCELONA,Abierto con normalidad,2021-04-22
LA BRASA ROJA,CL,POETA CABANYES,11,08004,41.37446,2.16581,BARCELONA,Abierto con normalidad,2021-04-30
NAKASHITA,CL,REC COMTAL,15,08003,41.38986,2.17992,BARCELONA,Abierto con normalidad,2021-04-22
VESTA BAR,CR,INDUSTRIA,8,08037,41.40220,2.16458,BARCELONA,Abierto con normalidad,2021-04-20
SPORTS BAR,CR,AMPLE,51,08002,41.38120,2.18055,BARCELONA,Abierto con normalidad,2021-04-26
BAR RTE. LA MEL,CR,FELIP II,186,08027,41.42569,2.18000,BARCELONA,Abierto con normalidad,2021-04-23
SAMIAJ SUPERMERCAT,CR,VALENCIA,492,08013,41.40455,2.17914,BARCELONA,Abierto con normalidad,2021-04-23
CAFETERIA BON LLOC,CR,FERROCARRILS CATALANS,119,08038,41.36255,2.14025,BARCELONA,Abierto con normalidad,2021-04-28
BAR APEROL,CL,BLAI,35,08004,41.37389,2.16398,BARCELONA,Abierto exclusivamente para take away/delivery,2021-04-15
RTE. JAPONES TOYODO,CL,NICARAGUA,122,08029,41.38653,2.13736,BARCELONA,Abierto con normalidad,2021-04-26
SUPERMERCAT ALIMENTACIO VILAMARI,CR,VILAMARI,10,08015,41.37590,2.15329,BARCELONA,Abierto con normalidad,2021-04-29
CAFE BAR LALANS,AV,MISTRAL,44,08015,41.37637,2.15528,BARCELONA,Abierto con normalidad,2021-04-28
CAFETERIA EL NIU,CR,SANT QUINTI,120,08041,41.41586,2.17491,BARCELONA,Cierre definitivo por Covid,Sin survey
SUSHI ART,CR,ROGER DE LLURIA,49,08009,41.39309,2.16893,BARCELONA,Abierto con normalidad,2021-04-21
BAR SEMPRE EN POSITIU,CR,TRES SENYORES,37,08024,41.40707,2.15915,BARCELONA,Abierto con normalidad,2021-04-29
FORN BLAT CAFE,CR,DOS DE MAIG,235,08013,41.40711,2.18201,BARCELONA,Abierto con normalidad,2021-04-27
BAR RTE RAO DEN TARRE,PTG,LLIVIA,43,08041,41.41978,2.17746,BARCELONA,Abierto con normalidad,2020-12-16
PETIT GOURMET BAR,CL,TARREGA,23,08030,41.43745,2.20445,BARCELONA,Abierto con normalidad,2021-04-29
CAFE JUST COMEDOR SOCIAL,CR,SOTS-TINENT NAVARRO,18,08002,41.38270,2.17967,BARCELONA,Cerrado estacional,Sin survey
ASIAN NOODLES&SUSHI,CR,NOU DE LA RAMBLA,11,08001,41.37857,2.17371,BARCELONA,Abierto con normalidad,2021-04-20
RTE. EUCALIPTUS,CR,BONSUCCES,4,08001,41.38439,2.17030,BARCELONA,Abierto con normalidad,2020-09-21
CARACAS CAFE,CR,PI I MARGALL,81,08024,41.41016,2.16426,BARCELONA,Abierto con normalidad,2021-04-27
BAR TAPAS SPUMA,CR,GRAN VIA DE LES CORTS CATALANES,291,08014,41.37208,2.14501,BARCELONA,Abierto con normalidad,2021-04-20
BAR 4 TORRES,CR,LIMA,8,08030,41.43935,2.20132,BARCELONA,Abierto con normalidad,2021-04-29
FRANKFURTS FABRA I PUIG,PS,FABRA I PUIG,82,08030,41.43030,2.18579,BARCELONA,Abierto con normalidad,2021-04-26
LA MERCE DE VILLARROEL,CR,VILLARROEL,28,08011,41.38167,2.16144,BARCELONA,Abierto con normalidad,2021-03-25
BAR NOVA MATINADA,CR,MALLORCA,526,08026,41.40810,2.18160,BARCELONA,Cierre definitivo por Covid,Sin survey
ROSTISERIA,PS,VALLDAURA,150,08042,41.43923,2.16649,BARCELONA,Abierto con normalidad,2021-03-10
COALIMENT DIPUTACION,CR,DIPUTACIO,314,08009,41.39437,2.17231,BARCELONA,Abierto con normalidad,2021-04-28
SANTA CAFEÍNA,CR,SEGRE,27,08030,41.43432,2.19215,BARCELONA,Abierto con normalidad,2021-04-27
BAR FRIENDS,CR,NUMANCIA,20,08029,41.38188,2.14066,BARCELONA,Abierto con normalidad,2020-09-23
BAR RTE.MIRASOL,CR,SANT ADRIA,25,08030,41.43433,2.19281,BARCELONA,Abierto con normalidad,2021-04-27
BAR CELONA,RB,"L'ONZE DE SETEMBRE",3,08030,41.42989,2.19496,BARCELONA,Abierto con normalidad,2021-04-26
MARI MORENA TAPES,CR,LORETO,22,08029,41.38968,2.14203,BARCELONA,Cerrado estacional,2021-04-27
RTE.NOMO,CR,GRAN DE GRACIA,13,08012,41.39814,2.15726,BARCELONA,Abierto con normalidad,2021-04-29
RTE.KUO,CR,MADRAZO,135,08021,41.39658,2.14414,BARCELONA,Abierto con normalidad,2021-04-29
BAR ASTUR GALAICO,CR,MOLI,70,08016,41.44420,2.18088,BARCELONA,Abierto con normalidad,2021-01-12
EMBAT RESTAURANT,CR,MALLORCA,304,08037,41.39711,2.16688,BARCELONA,Abierto con normalidad,2021-04-29
FUNDACIO ESCOLAPIES LLURIA,CR,ARAGO,302,08009,41.39441,2.16789,BARCELONA,Abierto con normalidad,2021-03-19
BAR ANDREA,CR,CIUTAT DE GRANADA,163,08018,41.40397,2.19071,BARCELONA,Abierto con normalidad,2021-04-27
ALIMEN GRAN VIA,CL,GRAN VIA DE LES CORTS CATALANES,210,08004,41.36904,2.14139,BARCELONA,Abierto con normalidad,2021-04-28
MONSTERS SHUSHI JAPONES,PZ,GAL.LA PLACIDIA,25,08006,41.39959,2.15215,BARCELONA,Abierto exclusivamente para take away/delivery,2021-04-28
EL CAFETO,RDA,SANT PAU,11,08015,41.37577,2.16700,BARCELONA,Abierto con normalidad,2021-04-28
BAR TANDEM,CR,ARIBAU,86,08036,41.38950,2.15781,BARCELONA,Abierto con normalidad,2021-04-26
ORANGE COFFE,CR,CORSEGA,514,08025,41.40539,2.17111,BARCELONA,Abierto con normalidad,2021-04-26
DIECIOCHO,CL,ATAULF,18,08002,41.38089,2.17925,BARCELONA,Abierto con normalidad,2020-12-18
24 H SUPERMERCAT,AV,JOSEP TARRADELLAS,155,08029,41.39167,2.14381,BARCELONA,Abierto con normalidad,2021-04-27
"RTE D'ARGENTO",PS,SANT JOAN,72,08009,41.42581,2.20078,BARCELONA,Abierto con normalidad,2021-04-30
ESTANCO,CR,ESCOLES PIES,3,08017,41.39477,2.13638,BARCELONA,Abierto con normalidad,2021-04-29
RARO BISTRO,CL,ROSSELLO,407,08025,41.40386,2.17137,BARCELONA,Cerrado temporalmente por COVID,2021-02-15
GRANJA MONTMARC,CR,VILAMARI,20,08015,41.37590,2.15329,BARCELONA,Abierto con normalidad,2021-04-29
ON CAFE,PS,SANT JOAN,96,08009,41.39865,2.17064,BARCELONA,Abierto con normalidad,2021-04-29
EL REBOST ALIMENTACIO,CR,LLUIS SAGNIER,25,08032,41.42443,2.17579,BARCELONA,Abierto con normalidad,2021-02-18
BAR RTE ARIZALA,CR,ROGER,2,08028,41.37624,2.12545,BARCELONA,Abierto con normalidad,2021-04-29
RESTAURANTE PEPA TOMATE,PZ,REVOLUCIO DE SETEMBRE DE 1868,186,08012,41.40259,2.15842,BARCELONA,Abierto exclusivamente para take away/delivery,2021-04-29
ESTANCO,CR,BERLIN,81,08029,41.38411,2.14056,BARCELONA,Abierto con normalidad,2021-04-23
PORT BAY COFFEE  DRIKS,PZ,PAU VILA,1,08039,41.38129,2.18593,BARCELONA,Abierto con normalidad,2021-04-27
TICKETS,AV,PARAL.LEL,164,08015,41.37506,2.15692,BARCELONA,Cierre definitivo por Covid,2020-09-18
PAPERERIA LLIBRERIA ITZIAR,CR,COMANDANT BENITEZ,18,08028,41.38010,2.12648,BARCELONA,Cierre definitivo por Covid,2021-02-24
CAF.VINTIDOS,CR,JOAN MIRO,22,08005,41.39030,2.19508,BARCELONA,Abierto con normalidad,2021-04-26
CENTRE NEGOCIS ESERP,CR,GIRONA,24,08010,41.39184,2.17509,BARCELONA,Abierto con normalidad,2021-04-30
NOMO SARRIA,CR,MAJOR DE SARRIA,105,08017,41.40019,2.12129,BARCELONA,Abierto con normalidad,2021-04-29
BCN SUPERM. MALLORCA,CL,MALLORCA,77,08029,41.38495,2.15076,BARCELONA,Abierto con normalidad,2021-04-29
CAN TRIPA RESTAURANTE,AV,MERIDIANA,233,08027,41.41920,2.18684,BARCELONA,Abierto con normalidad,2021-04-27
OBA,CL,GANDESA,6,08028,41.38783,2.13035,BARCELONA,Abierto con normalidad,2021-03-29
GOLDEN BAR,CR,SANTALO,19,08021,41.39513,2.14642,BARCELONA,Abierto con normalidad,2021-04-29
MASSAMARA,CR,DIPUTACIO,222,08011,41.38667,2.16211,BARCELONA,Abierto con normalidad,2021-04-26
RTE.CHINO PROSPERIDAD,CR,GRAN DE GRACIA,250,08012,41.40521,2.15091,BARCELONA,Abierto exclusivamente para take away/delivery,2021-04-27
ESTANC CUYAS,CL,BALMES,447,08022,41.40976,2.13682,BARCELONA,Abierto exclusivamente para take away/delivery,2021-04-23
CREPS BARCELONA,CR,VERDI,15,08012,41.40342,2.15734,BARCELONA,Abierto con normalidad,2021-04-19
ELS  SUPER AMICS,CL,PINAR DEL RIO,7,08027,41.42228,2.18358,BARCELONA,Abierto con normalidad,2021-04-28
ALIMENTACIÓ,CL,GARCILASO,194,08027,41.42356,2.18013,BARCELONA,Abierto con normalidad,2021-04-26
BAR T T,AV,MERIDIANA,346,08027,41.42657,2.18564,BARCELONA,Abierto con normalidad,2021-04-23
LA CALAIXERA,PS,MARAGALL,124,08027,41.42176,2.17953,BARCELONA,Abierto con normalidad,2021-04-29
BAR BARRERA,CR,ENRIC GRANADOS,54,08008,41.39136,2.15765,BARCELONA,Abierto con normalidad,2021-04-29
ALIMENT. HOLLYDAY,CAM,VELL DE LA PEDRERA,13,08042,41.44654,2.17849,BARCELONA,Abierto con normalidad,2021-04-29
RESTAURANTE CHINO,CL,PARLAMENT,22,08015,41.37621,2.16223,BARCELONA,Abierto con normalidad,2021-04-27
GENT DEL BARRI,CL,PRAGA,40,08024,41.41447,2.16281,BARCELONA,Cerrado estacional,2020-10-09
EL PLATILLO,AV,DIAGONAL,557,08029,41.38999,2.13482,BARCELONA,Abierto con normalidad,2021-04-28
BAR CAFETERÍA EMMA,CR,GRAN DE SANT ANDREU,307,08030,41.43688,2.18967,BARCELONA,Abierto con normalidad,2021-04-27
BAR HOLA,CR,CONCEPCION ARENAL,288,08030,41.43328,2.18418,BARCELONA,Abierto con normalidad,2021-04-26
A VIVA VOZ ARIBAU,CR,ARIBAU,103,08036,41.39042,2.15668,BARCELONA,Cerrado estacional,2020-10-09
REST COMO,CL,MUNTANER,231,08021,41.39455,2.14887,BARCELONA,Abierto con normalidad,2021-04-28
FARMACIA,AV,DIAGONAL,635,08028,41.38721,2.12384,BARCELONA,Abierto con normalidad,2020-12-29
ALIMENTACION SARRIA,CR,MILANESAT,2,08017,41.39617,2.12726,BARCELONA,Abierto con normalidad,2021-04-26
CERV. QUATRE 28,CR,"L'HARMONIA",6,08035,41.43425,2.14347,BARCELONA,Abierto con normalidad,2021-04-29
TROPICO,CR,MARQUES DE BARBERA,24,08001,41.37762,2.17144,BARCELONA,Abierto con normalidad,2021-04-26
VIVARI DIAGONAL 421,AV,DIAGONAL,421,08008,41.39488,2.15351,BARCELONA,Abierto con normalidad,2021-04-28
SEÑOR BURRITO,CL,AMPLE,12,08002,41.37979,2.17952,BARCELONA,Abierto con normalidad,2021-04-14
CAFE DE LA PLAZA,CR,EDUARD TODA,52,08031,41.43581,2.15666,BARCELONA,Abierto con normalidad,2021-04-23
MECHITA SOUR,CR,SANT JOAN DE MALTA,48,08018,41.40780,2.19382,BARCELONA,Abierto con normalidad,2021-04-28
LOCOROTONDO,PS,TAULAT,183,08005,41.40167,2.20842,BARCELONA,Cierre definitivo por Covid,2020-11-23
CREPS BARCELONA,CR,VERDI,17,08012,41.40355,2.15720,BARCELONA,Cerrado estacional,2020-11-10
9 REINAS,CR,VALENCIA,267,08007,41.39395,2.16495,BARCELONA,Abierto con normalidad,2021-04-28
RTE. HINDU LUMBINI/,CR,CASP,150,08013,41.39626,2.17987,BARCELONA,Cerrado estacional,2020-11-09
BAR CENTRO DPTVO.LA MAR BELLA,AV,LITORAL,86,08005,41.40015,2.21081,BARCELONA,Abierto con normalidad,2021-04-29
RTE.CAMELIA,CR,CONSTANÇA,2,08029,41.38786,2.13614,BARCELONA,Abierto con normalidad,2021-04-23
CE VILA OLIMPICA,CR,ANDRADE,40,08018,41.41159,2.19524,BARCELONA,Cierre definitivo por Covid,2020-09-22
CENTRO  MATIAS RAMIS CAFETERIA,CR,FELIU I CODINA,20,08031,41.43278,2.16064,BARCELONA,Cerrado temporalmente por COVID,2021-04-26
OMA BISTRO,CR,CONSELL DE CENT,227,08011,41.38545,2.15821,BARCELONA,Abierto con normalidad,2021-04-28
ALIMENTACION RADHE,CR,ESTADELLA,32,08030,41.43530,2.20295,BARCELONA,Abierto con normalidad,2021-04-23
ESTANCO,VIA,AUGUSTA,12,08006,41.39670,2.15512,BARCELONA,Abierto con normalidad,2021-04-26
TABERNA,CR,SARDENYA,304,08013,41.40229,2.17487,BARCELONA,Abierto con normalidad,2021-02-23
RATAFIA,CL,RAFAEL BATLLE,11,08017,41.39557,2.12779,BARCELONA,Cierre definitivo por Covid,Sin survey
MEDITERRANEO,PZ,NARCIS OLLER,8,08006,41.39713,2.15556,BARCELONA,Abierto con normalidad,2021-04-26
REST.GILDA,CR,AMPLE,34,08002,41.38071,2.18020,BARCELONA,Abierto con normalidad,2020-12-15
GRANJA PEP GRILL,CR,AMIGO,69,08021,41.39684,2.14251,BARCELONA,Abierto con normalidad,2021-04-23
BAR ILLUMINATI,CR,"L'ALZINA",44,08024,41.40724,2.15566,BARCELONA,Abierto con normalidad,2021-04-28
SUPERMERCAT,CR,NOU DE LA RAMBLA,87,08001,41.37598,2.17102,BARCELONA,Abierto con normalidad,2021-04-29
KANADA-YA,CL,VALENCIA,240,08007,41.39055,2.16044,BARCELONA,Abierto con normalidad,2021-04-22
REST LA GRAN FAMILIA,CR,CASANOVA,46,08011,41.38437,2.16017,BARCELONA,Abierto con normalidad,2021-04-26
VOILA,CR,ARIBAU,207,08021,41.39623,2.14909,BARCELONA,Cerrado temporalmente por COVID,2021-04-27
TAPES FERRAN,CR,FERRAN,24,08002,41.38124,2.17532,BARCELONA,Cerrado estacional,2020-07-07
HTL CATALONIA MIKADO,PS,BONANOVA,58,08017,41.40314,2.12717,BARCELONA,NS/NC,2021-04-28
RESTAURANTE CUINA YAMA,CL,PARC,1,08002,41.37738,2.17835,BARCELONA,Cierre definitivo por Covid,2021-03-19
BAR ENDOR,CR,COPERNIC,51,08006,41.40099,2.14077,BARCELONA,Abierto exclusivamente para take away/delivery,2021-04-27
IBERIC  DRINKS,PS,POTOSI,2,08030,41.44264,2.19836,BARCELONA,Abierto con normalidad,2021-04-29
MAURIZIO 2.0 PIZZERIA,CL,MUNTANER,208,08036,41.39311,2.15078,BARCELONA,Abierto con normalidad,2021-04-29
BAR K3,PS,TORRAS I BAGES,5,08030,41.43668,2.19121,BARCELONA,Abierto con normalidad,2021-04-27
ESTANCO BARCELONA 92,CL,GIRALT EL PELLISSER,16,08003,41.38631,2.17898,BARCELONA,Abierto con normalidad,2021-04-19
RTE SURYA BARCELONA,CL,PAU CLARIS,92,08010,41.39018,2.17050,BARCELONA,Abierto con normalidad,2021-04-26
ROCIO DISCOUNT,CR,"L'HORT DE LA VILA",25,08017,41.39927,2.12345,BARCELONA,Abierto con normalidad,2021-04-26
BODEGA 1940,CR,PANISSARS,30,08028,41.37661,2.13321,BARCELONA,Abierto con normalidad,2021-03-23
RTE.EL RACO DEL AVI,CR,VILADROSA,97,08042,41.44361,2.17670,BARCELONA,Abierto con normalidad,2021-04-19
BAR JOY,PTG,BORRELL,69,08005,41.40531,2.20649,BARCELONA,Cierre definitivo por Covid,Sin survey
RTE.EL PLAER,CR,"COMTE D'URGELL",198,08036,41.38797,2.15086,BARCELONA,Abierto con normalidad,2021-04-28
PALEOTRAINING BARCELONA,CR,BAC DE RODA,120,08019,41.40863,2.20255,BARCELONA,Abierto con normalidad,2021-04-22
ANTILLAS,CR,ANTILLES,9,08027,41.42531,2.18798,BARCELONA,Abierto con normalidad,2021-04-23
SASHA BAR,CL,MARGARIT,18,08004,41.37380,2.16363,BARCELONA,Cierre definitivo por Covid,Sin survey
THE SOPA BOBA,CR,BRUC,115,08009,41.39639,2.16679,BARCELONA,Abierto con normalidad,2021-04-29
CONTINENTAL,CL,PROVIDENCIA,30,08024,41.40625,2.15647,BARCELONA,Cerrado temporalmente por COVID,2021-02-10
SUPERMERCADO ZIDAN,CL,BALMES,77,08007,41.39057,2.16098,BARCELONA,Abierto con normalidad,2021-04-26
WILD BEEF BURGER,CR,DIPUTACIO,214,08011,41.38611,2.16134,BARCELONA,Abierto con normalidad,2021-04-28
MADAME,CL,ROBADOR,18,08001,41.37957,2.17075,BARCELONA,Cerrado temporalmente por COVID,2021-03-24
CINES PHENOMENA,CR,SANT MARIA,168,08030,41.43672,2.18885,BARCELONA,Abierto con normalidad,2021-04-26
RESTAURANTE BOCCONI,CL,MAJOR DE SARRIA,93,08017,41.39949,2.12183,BARCELONA,Abierto con normalidad,2021-04-28
RTE  EDENOVA,CL,ROSSELLO,209,08008,41.39278,2.15663,BARCELONA,Abierto con normalidad,2021-04-28
BAR LA VANE,CL,CAMPRECIOS,28,08042,41.44680,2.17728,BARCELONA,Abierto con normalidad,2021-04-29
A BOROA,CL,RUBEN DARIO,79,08030,41.43447,2.18628,BARCELONA,Abierto con normalidad,2020-09-14
LA HABANA COCKTAIL BAR,CL,ARAGO,156,08011,41.38595,2.15658,BARCELONA,Cierre definitivo por Covid,Sin survey
PIZZERIA LA CLOTENCA,CL,CLOT,49,08018,41.40774,2.18819,BARCELONA,Cierre definitivo por Covid,2021-03-31
BODEGA SALVAT,CL,SAGUNT,51,08014,41.37117,2.13461,BARCELONA,Abierto con normalidad,2021-04-23
ANTOJO,CL,ENTENÇA,132,08015,41.38165,2.14789,BARCELONA,Cierre definitivo por Covid,2021-02-11
BAR DRASSANES,CR,MONTSERRAT,17,08001,41.37696,2.17523,BARCELONA,Cerrado temporalmente por COVID,2021-02-08
SANTOBAR,CL,AMPLE,54,08002,41.38125,2.18060,BARCELONA,Abierto con normalidad,2020-12-09
ESTANCO 286 BONANOVA,PS,BONANOVA,109,08017,41.40103,2.12342,BARCELONA,Abierto con normalidad,2021-04-26
EL RACO DE LAURA,RB,PRIM,166,08020,41.42077,2.20715,BARCELONA,Abierto con normalidad,2021-04-26
LESTANC DE DALT,CL,MAJOR DE SARRIA,118,08017,41.40017,2.12131,BARCELONA,Abierto con normalidad,2021-04-23
EL ASADOR DE ARANDA (LONDRES),CR,LONDRES,94,08036,41.39363,2.15095,BARCELONA,Abierto con normalidad,2021-04-26
TAVERNA DEL COURE,CL,"L'ARGENTERIA",53,08003,41.38359,2.18077,BARCELONA,Cerrado estacional,2021-01-04
ESTANC 72,CR,GRAN VIA DE LES CORTS CATALANES,453,08015,41.37909,2.15419,BARCELONA,Abierto con normalidad,2021-04-23
EL MERCAT,CL,BALUARD,38,08003,41.38005,2.18895,BARCELONA,Abierto con normalidad,2021-04-27
REST ASADOR DE ARANDA PAU CLAR,CL,PAU CLARIS,70,08010,41.38917,2.17191,BARCELONA,Abierto con normalidad,2021-04-29
NOGG RESTAURANTE & DRINKS,CL,TUSET,30,08006,41.39634,2.15142,BARCELONA,Abierto con normalidad,2021-04-20
RTE OCEAN CLUB,CL,"L'ESCAR",26,08039,41.37565,2.18736,BARCELONA,Cierre definitivo por Covid,2021-03-24
PAPERERIA LLIBRERIA ALEX,CL,ASTURIES,37,08012,41.40347,2.15446,BARCELONA,Abierto con normalidad,2021-04-28
SUPER ALIMENTACIO MISTRAL,AV,MISTRAL,22,08015,41.37704,2.15740,BARCELONA,Abierto con normalidad,2021-04-28
HOUSE PIZZA,CL,PARIS,182,08036,41.39352,2.15311,BARCELONA,Cerrado temporalmente por COVID,2021-04-27
SMART SUPERMERCAT,CL,CONSELL DE CENT,49,08014,41.37650,2.14571,BARCELONA,Abierto con normalidad,2021-04-26
FLECA IGLESIAS,AV,MISTRAL,40,08015,41.37650,2.15568,BARCELONA,Abierto con normalidad,2021-04-28
