Outlet,St. type,Street,Number,Postal code,Latitude,Longitude,Municipality,Situation,Date
JUAN KEBAB,CL,COMTES DE BELL-LLOC,57,08014,41.37967,2.13789,BARCELONA,Abierto con normalidad,2021-04-29
RIYA SUPERMERCAT,CL,PARIS,189,08036,41.39352,2.15311,BARCELONA,Abierto con normalidad,2021-04-27
ABSENTA 1893,CL,"L'HOSPITAL",75,08001,41.38041,2.17034,BARCELONA,Abierto con normalidad,2021-04-29
BAR LUIS,CR,PADILLA,334,08025,41.41012,2.17139,BARCELONA,Abierto con normalidad,2021-01-29
SUPERMERCAT ARAGO,CL,ARAGO,277,08007,41.39298,2.16599,BARCELONA,Abierto con normalidad,2021-04-26
BAR LOS PORRILLOS,CL,GRAN VIA DE LES CORTS CATALANES,983,08020,41.41237,2.19800,BARCELONA,Cierre definitivo por Covid,2020-10-16
BAR RESTAURANTE EL BOU LOMOTECA,CL,OLESA,5,08027,41.42022,2.18184,BARCELONA,Abierto con normalidad,2021-04-07
SÚPER BORRELL,CL,COMTE BORRELL,42,08015,41.37722,2.16284,BARCELONA,Abierto con normalidad,2021-04-28
SUPERMERCAT,CL,COMTES DE BELL-LLOC,118,08014,41.38135,2.13675,BARCELONA,Abierto con normalidad,2021-03-31
SOL MARK SUPER,CL,BALTASAR GRACIAN,35,08016,41.44123,2.18050,BARCELONA,Abierto con normalidad,2021-03-18
BAR PORTÓ BELLO,RDA,SANT ANTONI,68,08001,41.38292,2.16366,BARCELONA,Abierto con normalidad,2021-03-29
OMU,CL,BIADA,1,08012,41.40491,2.15431,BARCELONA,Abierto con normalidad,2021-03-19
BAR DAC,CL,JUDEA,13,08035,41.42453,2.13955,BARCELONA,Abierto con normalidad,2020-09-21
RESTAURANTE TERROIR BCN,CL,PALAUDARIES,26,08004,41.37277,2.17215,BARCELONA,Abierto con normalidad,2021-04-30
100 MONTADITOS,RB,POBLENOU,76,08005,41.40129,2.20112,BARCELONA,Cierre definitivo por Covid,2021-03-19
MICAELA,CL,SEQUIA COMTAL,4,08018,41.40825,2.18770,BARCELONA,Abierto con normalidad,2021-04-19
TACO LOVE,CL,VENEÇUELA,3,08019,41.40805,2.20466,BARCELONA,Cerrado estacional,2020-11-18
2112 SAGRADA FAMILIA,CL,ROGER DE FLOR,226,08025,41.40112,2.16963,BARCELONA,Abierto con normalidad,2021-02-04
DELIPAN,CL,MINA DE LA CIUTAT,22,08042,41.44734,2.17411,BARCELONA,Abierto con normalidad,2021-04-23
L ATELIER DE VALERIA,CL,MONTSENY,9,08012,41.40167,2.15424,BARCELONA,Abierto con normalidad,2021-02-24
CAUPOLICAN,CL,LA MAQUINISTA,40,08003,41.38097,2.18965,BARCELONA,Abierto con normalidad,2021-04-27
LA DESPENSA DE LAFORJA,CL,LAFORJA,80,08021,41.39735,2.14683,BARCELONA,Abierto con normalidad,2021-04-28
RESTAURANT  RAMEN,CL,TORROELLA DE MONTGRI,25,08027,41.42826,2.18628,BARCELONA,Abierto con normalidad,2021-04-23
UNIC,AV,PARAL.LEL,188,08015,41.37507,2.15319,BARCELONA,Abierto con normalidad,2021-04-14
SUPERMERCAT PEGÀS,CL,PEGAS,6,08027,41.42605,2.18685,BARCELONA,Abierto con normalidad,2020-09-30
SUPERMERCAT MALATS,CL,MALATS,48,08030,41.43627,2.18812,BARCELONA,Abierto con normalidad,2021-04-30
MADRE MIA,CL,CONCILI DE TRENTO,142,08020,41.41578,2.19814,BARCELONA,Abierto con normalidad,2021-04-26
BIKINI,CL,MANDRI,24,08022,41.40271,2.13444,BARCELONA,Abierto con normalidad,2021-04-29
"QUEEN'S SUPERMERCAT",AV,MERIDIANA,156,08026,41.41041,2.18713,BARCELONA,Abierto con normalidad,2021-04-27
CASA TOÑI,CL,MALADETA,26,08016,41.43227,2.17633,BARCELONA,Abierto con normalidad,2021-04-26
XOXO BARCELONA,RIE,SANT MIQUEL,69,08006,41.39861,2.15459,BARCELONA,Abierto con normalidad,2021-04-28
CASAL MAS GUINARDÓ,PZ,SALVADOR RIERA,2,08041,41.41819,2.17436,BARCELONA,Abierto con normalidad,2020-10-01
CHICO BAR,CL,MANDRI,29,08022,41.40313,2.13395,BARCELONA,Abierto con normalidad,2021-04-29
PALIQUE,CL,MANDRI,25,08022,41.40302,2.13409,BARCELONA,Abierto con normalidad,2021-04-29
