nombre,cocina,direccion,rating,num_opiniones,precio
Hummus Barcelona,VEGETARIANO,"Carrer de València, 227, 08007, Barcelona",8.9,1387,17
Mantura Tapes asiatiques i Vins,€,"Carrer de l'Encarnació, 38, Barcelona, Spain, 08024, Barcelona",8.6,1287,18
"Cal Trapella, Cuina de Mercat",MEDITERRÁNEO,"Carrer de Francisco Giner, 22, 08012, Barcelona",9.2,606,22
La casa milagrosa,FUSIÓN,"Carrer de Floridablanca, 88, 08015, Barcelona",8.9,45,20
Solric Pizza & Grill,MEDITERRÁNEO,"Carrer de Tarragona, 177, 08014, Barcelona",8.8,76,15
Tango Grill,ARGENTINO,"Passeig de Garcia Fària, 31, 08005, Barcelona",9.0,1212,25
Tequila Cantina Mexicana - Aragó,MEXICANO,"Carrer d'Aragó, 527, 08026, Barcelona",8.9,1162,15
Santa Rita Experience,MEDITERRÁNEO,"Carrer de Veneçuela, 16, 08019, Barcelona",9.6,65,70
Roma,MEDITERRÁNEO,"C/ Alfons XII, 39, 08006, Barcelona",9.3,934,31
Chakrumi,MEDITERRÁNEO,"Carrer de Béjar, 66, 08014, Barcelona",9.6,9,23
A'rogueira,MEDITERRÁNEO,"C. de Rocafort, 106, 08015, Barcelona",9.0,88,20
La monda molleteria,ESPAÑOL,"Passatge de Josep Llovera, 1, 08021, Barcelona",9.4,8,16
Vinarium,ITALIANO,"Carrer de Feliu Casanova, 24, 08028, Barcelona",9.3,17,13
Te la comiste,VENEZOLANO,"Gran Via de les Corts Catalanes, 944, 08018, Barcelona",8.9,141,18
Locanda Del Vulture,MEDITERRÁNEO,"Carrer de Fluvià, 94, 08019, Barcellona",9.1,171,25
Viet Kitchen,VIETNAMITA,"Carrer d'Aribau, 137, 08036, Barcelona",9.4,549,15
Les Mil i Una Nits,ÁRABE,"Carrer del Rosselló, 354, 08025, Barcelona",8.9,380,18
Crêperie Les 3 Pommes,CREPERÍA,"Carrer Aragó, 150, 08011, Barcelona",9.6,381,12
Can Boneta,CATALÁN,"Carrer de Balmes, 139, 08008, Barcelona",9.7,175,28
El Rey del Bacalao,PORTUGUÉS,"Carrer de Sicília, 394, 08025, Barcelona",9.2,544,25
Gran Viana,MEDITERRÁNEO,"Carrer dels Escudellers, 24, 08002, Barcelona",9.5,522,29
Negresco,MEDITERRÁNEO,"Carrer de Roger de Llúria, 16-18, 08010, Barcelona",9.5,759,30
Un chingo de sabor,MEXICANO,"Carrer de Provença, 357, 08037, Barcelona",9.1,63,17
O'Toxo Tres Hermanos,MEDITERRÁNEO,"Carrer del Carme, 08001, Barcelona",9.1,154,20
Galileo,ITALIANO,"Carrer d'Aribau, 152, 08036, Barcelona",9.7,89,25
EdeNova,MEDITERRÁNEO,"Carrer del Rosselló, 209, 08008, Barcelona",8.8,82,20
Babula Bar 1937,MEDITERRÁNEO,"Carrer de Pau Claris, 139, 08009, Barcelona",9.6,429,35
Obama,INGLÉS,"Gran Via de les Corts Catalanes, 603, 08007, Barcelona",8.6,1383,20
Las Corts,MERCADO,"Carrer del Pintor Tapiró, 45, 08028, Barcelona",9.5,164,32
Ryu Ramen,JAPONÉS,"Carrer de Sancho de Ávila, 178, 08018, Barcelona",9.6,1577,15
El Bierzo a Tope,CASTELLANO,"Carrer de la Diputació, 159, 08011, Barcelona",9.5,294,21
Orvay,MEDITERRÁNEO,"Passeig del Born, 4, 08003, Barcelona",9.5,996,25
Caradura,EUROPEO,"Carrer de Marià Cubí, 179, 08021, Barcelona",8.9,79,32
2Y Restaurante Macrobiótico y Vegano,VEGETARIANO,"Passatge de Batlló, 4, 08036, Barcelona",9.6,425,11
Inmortales Trattoria,Welcome,"C/ Marc Aureli, 27, 08006, Barcelona",8.7,1148,25
Picasso,MEDITERRÁNEO,"Carrer de Mallorca, 422, 08013, Barcelona",9.0,33,22
Tosca del carme,ESPAÑOL,"Carrer del Carme, 40, 08001, Barcelona",9.1,13,15
Pizzería Alson,€,"Carrer de Tamarit, 82, 08004, Barcelona",8.8,276,15
