nombre,cocina,direccion,rating,num_opiniones,precio
Blat & Plat,MEDITERRÁNEO,"Av. Diagonal, 114, 08019, Barcelona",9.2,272,15
Banna,TAILANDÉS,"Plaça Revolucio de Setembre 1868, 15, 08012, Barcelona",9.2,523,20
4 Capellans - Hotel Barcelona Catedral,MEDITERRÁNEO,"C/ dels Capellans, 4, 08002, Barcelona",0.0,0,21
Huqqah,MEDITERRÁNEO,"Carrer de Pamplona, 29, 08005, Barcelona",0.0,0,15
Nolita,AMERICANO,"Carrer de Llull, 230, 08005, Barcelona",8.9,560,15
Abirradero,MEDITERRÁNEO,"Carrer de Vila i Vilà, 77, 08004, Barcelona",8.9,443,20
Vegetalia Born,VEGETARIANO,"Plaça del Fossar de les Moreres, 08003, Barcelona",8.9,377,15
Mirabé,FUSIÓN,"C/ Manuel Arnús, 2, 08035, Barcelona",8.9,2738,40
Xiringuito Escribà,ARROCERÍA,"Avenida Litoral, 62, 08005, Barcelona",8.9,1826,46
La Porca,MEDITERRÁNEO,"Carrer de Mata, 16, 08004, Barcelona",9.3,105,20
l'avocaterie,INTERNACIONAL,"Carrer de Sèneca, 4, 08006, Barcelona",9.3,74,17
Taberna Noroeste,MEDITERRÁNEO,"Carrer de Radas, 67, 08004, Barcelona",9.5,32,40
Bellako Gastro Kebab,TURCO,"Carrer de la Marina, 244, 08013, Barcelona",8.7,102,12
Cuina Mametora,JAPONÉS,"Carrer de Violant d'Hongria Reina d'Aragó, 42, 08028, Barcelona",9.5,39,17
Jaipurwala cocina hindú,INDIO,"Carrer de València, 506, 08013, Barcelona",9.3,126,20
Sumamanqa,LATINO,"Carrer de la Independència, 340, 08026, Barcelona",9.3,123,15
Santa Clara,MEDITERRÁNEO,"Carrer Jiménez i Iglesias, 11, 08034, Barcelona",8.7,735,34
La Come Dia,€,"Carrer de la França Xica, 15, 08004, Barcelona",8.7,731,15
Skyways Barcelona,INDIO,"Carrer del Marquès de Campo Sagrado, 5, 08015, Barcelona",0.0,0,15
El Mirall dels Encants,MEDITERRÁNEO,"Carrer de los Castillejos, 158, 08013, Barcelona",0.0,0,30
Entre Tapes - Meridiana,MEDITERRÁNEO,"Avinguda Meridiana, 408, 08030, Barcelona",0.0,0,15
Fuji Ya Barcelona,ESPAÑOL,"Carrer de Guillem Tell, 18, 08006, Barcelona",6.7,57,15
Maris&co,ESPAÑOL,"Carrer Aragó, 497, 08013, Barcelona",0.0,0,20
Don Picanton,MEDITERRÁNEO,"Carrer de Sardenya, 78, Barcelona, Spain. 08005, 08013, Barcelona",0.0,0,25
Fish PAC,ASIÁTICO,"Carrer de Laforja, 95, 08021, Barcelona",9.1,25,35
Tapeo Born,CATALÁN,"Carrer de Montcada, 29, 08003, Barcelona",9.0,59,25
Flamant,MEDITERRÁNEO,"Carrer d'Enric Granados, 23, 08007, Barcelona",8.9,330,25
Oishii Ramen Street - Pau Claris,JAPONÉS,"Carrer de Pau Claris, 112, 08009, Barcelona",9.0,68,15
Via Granados,MEDITERRÁNEO,"Carrer d'Enric Granados, 67, 08008, Barcelona",9.1,567,22
La Taberna Griega,GRIEGO,"Carrer del Torrent de l'Olla, 123, 08012, Barcelona",8.6,623,23
Ca L'Estevet,CATALÁN,"Carrer de Valldonzella, 46, 08001, Barcelona",9.3,363,30
La Font de Prades,CATALÁN,"Avenida de Francesc Ferrer i Guàrdia, 13-27 (Poble Espanyol), 08038, Barcelona",9.1,210,25
Txokoa Diagonal,MEDITERRÁNEO,"Avinguda Diagonal, 593, 08014, Barcelona",0.0,0,20
Cocina Hermanos Torres,CREATIVO,"Carrer del Taquígraf Serra, 20, 08029, Barcelona",0.0,0,200
Indian Palace,INDIO,"Carrer de Santaló, 73, 08021, Barcelona",0.0,0,20
Nou Xupito Poblenou,ARGENTINO,"Carrer de Pujades, 225, 08005, Barcelona",0.0,0,15
Anclas Bar Tapas,MEDITERRÁNEO,"Carrer Nou de la Rambla, 24, 08001, Barcelona",0.0,0,20
Makkoli,COREANO,"Carrer de la Diputació, 88, 08015, Barcelona",0.0,0,25
El Caserón,€,"Carrer de Berlín, 71, 08029, Barcelona",0.0,0,25
El Rovell,CATALÁN,"Carrer de la Indústria, 124, 08025, Barcelona",0.0,0,20
Crudo Bar Barcelona,MARISQUERÍA,"Gran Via de les Corts Catalanes, 654, 08010, Barcelona",0.0,0,28
Frankfurt Joan,MEDITERRÁNEO,"Carrer del Joncar, 3, 08005, Barcelona",0.0,0,16
El Chamo,VENEZOLANO,"C/ d'Aragó, 388, 08007, Barcelona",0.0,0,15
Alquimia,INTERNACIONAL,"Carrer d'Aribau, 77, 08036, Barcelona",8.8,3,12
StoreCafé,MEDITERRÁNEO,"Travessera de Dalt, 25, 08024, Barcelona",0.0,0,20
Twins,MEDITERRÁNEO,"Gran Via Carles III, 87, 08028, Barcelona",0.0,0,20
Delaparra,ESPAÑOL,"Passeig del Taulat, 183, 08005, Barcelona",8.8,11,25
Shunka,JAPONÉS,"Carrer dels Sagristans, 5, 08002, Barcelona",9.2,113,40
El boliche del gordo Cabrera,Welcome,"Carrer del Consell de Cent, 338, 08009, Barcelona",0.0,0,38
MARISMA NASS,MEDITERRÁNEO,"Plaça Poeta Bosca, 1, 08003, Barcelona",8.0,15,25
The Ranch Smokehouse,AMERICANO,"Ronda de la Universitat, 20, 08007, Barcelona",9.2,164,17
Lascaleta restobar,ESPAÑOL,"Avinguda de Vallcarca, 156, 08023, Barcelona",8.7,111,15
Purobeach Barcelona,MEDITERRÁNEO,"Passeig del Taulat, 262-264 (Hotel Hilton Diagonal Mar), 08019, Barcelona",9.3,60,38
Pla de la Garsa,CATALÁN,"C/ Assaonadors, 13, 08003, Barcelona",9.1,598,23
Velissima,ITALIANO,"Passeig de Joan de Borbó, 103, 08039, Barcelona",9.1,109,45
La Catrina de Barcelona,MEXICANO,"Carrer de Sardenya, 196, 08013, Barcelona",0.0,0,20
Chez Cocó,MEDITERRÁNEO,"Avenida Diagonal, 465, 08036, Barcelona",8.8,1097,27
La Royale by Paco Pérez,MEDITERRÁNEO,"Plaza del Camp, 5, 08022, Barcelona",8.8,1302,18
El tall Iberic,MEDITERRÁNEO,"Carrer de València, 637, 08026, Barcelona",9.2,118,22
Candelecho charcoal grill,INTERNACIONAL,"Carrer de Bailèn, 127, 08009, Barcelona",0.0,0,30
Oda - Casino Barcelona,AUTOR,"Carrer de la Marina, 19, 08005, Barcelona",0.0,0,30
Casa Tejada,MEDITERRÁNEO,"Carrer del Tenor Viñas, 3, 08021, Barcelona",8.6,150,30
Bodega Balmes,MEDITERRÁNEO,"Carrer de Balmes, 363, 08006, Barcelona",9.0,32,15
Duri Fusión,MEDITERRÁNEO,"Carrer de la Princesa, 33, 08003, Barcelona",8.0,784,25
MR KAO - Hotel Claris,CHINO,"Carrer de València, 271, 08009, Barcelona",0.0,0,35
Fa Patxoca,MEDITERRÁNEO,"C/ Mercaders, 28, 08003, Barcelona",0.0,0,18
La Barca del Salamanca,MEDITERRÁNEO,"Moll de Gregal 13-17 Port Olímpic, 08005, Barcelona",8.9,705,37
Murivecchi,INSIDER,"C/ Princesa, 59, 08003, Barcelona",9.1,804,23
Bodega Bonay,MEDITERRÁNEO,"Gran Via de les Corts Catalanes, 700, 08010, Barcelona",9.2,11,25
A Mi Manera Restaurant,MEDITERRÁNEO,"Carrer del Parlament, 15, 08015, Barcelona",9.8,4,20
Pilar,MEDITERRÁNEO,"Carrer de València, 113, 08011, Barcelona",9.1,6,23
Plaza,ESPAÑOL,"Carrer del Pou, 38, 08016, Barcelona",8.9,14,15
Melocotón vegan burger,VEGETARIANO,"Carrer d'En Fontrodona, 17, 08004, Barcelona",0.0,0,14
BdGust,MEDITERRÁNEO,"Via Augusta, 45, 08006, Barcelona",8.4,872,20
OD Restaurant,INTERNACIONAL,"Carrer d'Aragó, 300, 08009, Barcelona",0.0,0,30
La Tertulia,MEDITERRÁNEO,"Rambla del Poblenou, 34, 08005, Barcelona",8.8,42,18
128 Rambla Restaurant- Hotel Rivoli,MEDITERRÁNEO,"La Rambla, 128, 08002, Barcelona",0.0,0,17
La Lluna,MEDITERRÁNEO,"C/ Sant Bonaventura, 7, 08001, Barcelona",8.6,273,25
Tres Sueños,INTERNACIONAL,"Moll del Parc de la Pau, 08930, Barcelona",0.0,0,35
Gallo Loco,MEDITERRÁNEO,"Passeig de Gràcia, 33, 08007, Barcelona",5.0,4,15
MEPIACE VALL PARC RESTAURANT,MEDITERRÁNEO,"Carretera de l' Arrabassada, 107, 08035, Barcelona",8.7,56,18
La Botiga - Gandesa,MEDITERRÁNEO,"Carrer de Gandesa, 10, 08029, Barcelona",8.7,323,20
L'Escamarlà,MEDITERRÁNEO,"Passeig Marítim del Bogatell, 40, 08005, Barcelona",8.5,141,30
Rooftop de Informal by Marc Gascons- Hotel The Serras,MEDITERRÁNEO,"Passeig de Colom, 9, 08002, Barcelona",8.7,344,50
Pizzería Napoli Centrale,€,"Plaça del Sortidor, 15, 08004, Barcelona",9.3,84,15
Disco Q Pedralbes,ESPAÑOL,"Carrer de Santa Caterina de Siena, 28, Barcelona, Spain, 08034, Barcelona",0.0,0,20
Alastruey,ESPAÑOL,"C/ Mercaderes, 24, 08003, Barcelona",0.0,0,24
Manzoku ramen&sushi,JAPONÉS,"C. d'Espronceda, 126, 08005, Barcelona",9.8,10,14
Gust pollos & Tacos II,EUROPEO,"Carrer del Mas Duran, 40, 08042, Barcelona",0.0,0,11
Piscorestobar,PERUANO,"Carrer de Sant Frederic, 7, 08028, Barcelona",9.8,10,30
GreenVita - Sarria,MEDITERRÁNEO,"Carrer de Santa Fe de Nou Mèxic, 08017, Barcelona",9.1,63,15
ORIO BCN Born,VASCO,"Av. de Francesc Cambó, 23, 08003, Barcelona",8.4,53,30
3Sentits,MEDITERRÁNEO,"Carrer d'arizala, 53, 08028, Barcelona",6.4,143,20
Il Giardinetto,ITALIANO,"Carrer de la Granada del Penedès, 22, 08006, Barcelona",8.9,175,28
Chi Nanit,CHINO,"Carrer de Martínez de la Rosa, 42, 08012, Barcelona",8.8,39,25
Slow & Low,MEDITERRÁNEO,"Carrer del Comte Borrell, 119, 08015, Barcelona",8.8,6,68
Sato I Tanaka,JAPONÉS,"Carrer del Bruc, 79, 08009, Barcelona",9.8,14,60
Luigi Ristorante,Welcome,"Carrer de Roger de Llúria, 50, 08009, Barcelona",9.2,196,25
3 Focs,MEDITERRÁNEO,"Carrer de València, 207, 08007, Barcelona",8.9,1078,21
La Taquería Passatge de la Font,MEXICANO,"Passatge de la Font, 5, 08013, Barcelona",9.1,705,13
Can Ramonet,MARISQUERÍA,"C/ La Maquinista, 17, 08003, Barcelona",8.7,925,29
Bodega Joan 140,MEDITERRÁNEO,"C/ d'Entença, 140, 08015, Barcelona",8.2,9,18
San Viernes,MEDITERRÁNEO,"Carrer de Cartagena, 220, 08013, Barcelona",8.4,15,20
Più Barcelona,€,"C/ Gran Vía de les Corts Catalanes, 633, 08010, Barcelona",0.0,0,20
Todo Pasa,ASADOR,"C/ Vila i Vilà, 53, 08004, Barcelona",0.0,0,25
BARCINO FOOD BRUNCH,INTERNACIONAL,"Carrer del Comte d'Urgell, 222, 08036, Barcelona",8.8,54,12
Mirablau,MEDITERRÁNEO,"Plaça Doctor Andreu, S/N, 08035, Barcelona",8.8,1969,20
7 Portes,CATALÁN,"Passeig d'Isabel II, 14, 08003, Barcelona",8.8,4025,50
Emocionar,MEDITERRÁNEO,"Carrer de Saragossa, 122, 08006, Barcelona",0.0,0,25
Fòrum CETT,INTERNACIONAL,"Av. de Can Marcet, 36, 08035, Barcelona",9.7,14,10
GreenVita Glòries,MEDITERRÁNEO,"Avinguda Diagonal, 208 (C.C. Glories), 08018, Barcelona",8.7,154,15
The Rooftop at Sir Victor,MEDITERRÁNEO,"Carrer del Rosselló, 265, 08008, Barcelona",8.6,49,22
El Racó - Còrsega,€,"Carrer de Còrsega, 196, 08036, Barcelona",8.6,161,17
Can Miserias,MEDITERRÁNEO,"Carrer del Comte Borrell, 106, 08015, Barcelona",8.0,457,25
Once Upon a Time,MEDITERRÁNEO,"Carrer de Mandri, 32, 08022, Barcelona",8.3,540,18
Mondo,FUSIÓN,"Carrer d' Aribau, 159, 08036, Barcelona",0.0,0,20
GreenVita - Diagonal,INTERNACIONAL,"Avinguda Diagonal, 3, 08019, Barcelona",8.5,306,15
Golfo de Bizkaia Pi,VASCO,"Carrer del Pi, 5, 08002, Barcelona",9.1,23,20
La Montiel37,MEDITERRÁNEO,"Carrer de Viladomat, 37, 08015, Barcelona",0.0,0,20
Petit Comitè de Nandu Jubany,MEDITERRÁNEO,"Passatge de la Concepció, 13, 08008, Barcelona",0.0,0,59
Farga de Diagonal,CATALÁN,"Avinguda Diagonal, 391, 08008, Barcelona",0.0,0,35
Don Curado Tasting,MEDITERRÁNEO,"Rambla del Poblenou, 125, 08018, Barcelona",8.6,70,15
Terraza Alaire - Hotel Condes Barcelona,MEDITERRÁNEO,"Passeig de Gràcia, 73, 08008, Barcelona",9.6,7,20
Ramen House,JAPONÉS,"Rambla del Poblenou, 65, 08005, Barcelona",9.6,7,15
Timesburg Fabra i Puig,AMERICANO,"Passeig de Fabra i Puig, 233, 08031, Barcelona",0.0,0,12
La Rita,MEDITERRÁNEO,"Carrer d'Aragó, 279, 08007, Barcelona",9.0,95,20
El Oso Panda,ASIÁTICO,"Carrer de Verdi, 56, 08012, Barcelona",9.4,10,20
El Mamón,MEDITERRÁNEO,"Passatge de Pere Calders, 2, 08015, Barcelona",8.9,220,20
Mi Rincón,COLOMBIANO,"Avinguda Diagonal, 303, 08013, Barcelona",8.3,46,20
La Forchetta,ITALIANO,"Avinguda Meridiana, 2, 08018, Barcelona",8.9,214,20
Nelumbo,ASIÁTICO,"Carrer d'Aribau, 32, 08011, Barcelona",7.4,217,27
Spice Bcn,AFRICANO,"Carrer d'Amigó, 39, 08021, Barcelona",0.0,0,10
Ideal Restaurant Collserola,MEDITERRÁNEO,"Carretera de Molins de Rei a Vallvidrera, Km. 11,2, 08017, Barcelona",8.6,170,25
Casa Marzá - Platillos i Tapes,MEDITERRÁNEO,"Via Augusta, 98, 08006, Barcelona",0.0,0,18
Firo Tast,FUSIÓN,"Avinguda de Gaudí, 81-83, 08025, Barcelona",0.0,0,24
Bodega Brugal - Tast de Vins,CATALÁN,"C/ Morales, 30, 08029, Barcelona",0.0,0,20
Jolene,INTERNACIONAL,"Carrer de Pere IV, 385, 08020, Barcelona",9.5,15,15
Arrosseria Xàtiva Les Corts,MEDITERRÁNEO,"C/ Bordeus, 35, 08029, Barcelona",8.5,889,30
La Taqueria Sardenya,MEXICANO,"Carrer de Sardenya, 304, 08013, Barcelona",8.8,127,15
Vincci Gala,MEDITERRÁNEO,"Ronda de Sant Pere, 32, 08010, Barcelona",0.0,0,25
La Taberneta,MEDITERRÁNEO,"Carrer d'Enric Granados, 98, 08008, Barcelona",0.0,0,15
Àcota - Ayre Hotel Gran Vía,ESPAÑOL,"Gran Via de les Corts Catalanes, 322-324, 08004, Barcelona",0.0,0,25
Les Delícies by Eboca Restaurant,MEDITERRÁNEO,"Gran Via de les Corts Catalanes, 644 - - Hotel Catalonia Passeig de Gràcia, 08007, Barcelona",0.0,0,29
La Flor de la Canela,PERUANO,"Carrer de Watt, 8, 08014, Barcelona",8.2,84,18
Somni Restaurant & Cocteleria - Hotel The One,MEDITERRÁNEO,"Carrer de Provença, 277, 08037, Barcelona",0.0,0,55
La Fourchette de Collserola,MEDITERRÁNEO,"Carrer Major del Rectoret, 2, 08017, Barcelona",0.0,0,12
Carpe Diem Barcelona (CDLC),MEDITERRÁNEO,"Passeig Marítim de la Barceloneta, 32, 08003, Barcelona",8.7,232,40
Opium Barcelona,MEDITERRÁNEO,"Passeig Marítim de la Barceloneta, 34, 08003, Barcelona",8.1,6,35
Fabrik,MEDITERRÁNEO,"Carrer de Llull, 169, 08005, Barcelona",0.0,0,20
St. Germain,MEDITERRÁNEO,"Carrer del Torrent de l'Olla, 113, 08012, Barcelona",9.3,4,15
Alto Bueno,MEDITERRÁNEO,"Carrer de Muntaner, 109, 08036, Barcelona",0.0,0,20
Chico Bar,MEDITERRÁNEO,"Carrer de Mandri, 29, 08022, Barcelona",9.4,5,20
El Caliu de l'Eixample,ASADOR,"Valencia, 329, 08009, Barcelona",9.2,9,25
Bykate,INTERNACIONAL,"Carrer de Còrsega, 379, 08037, Barcelona",9.5,5,15
A33 Pizzeria,€,"Carrer de Manso, 22, 08015, Barcelona",8.8,68,20
L'Éclair - El Palace Barcelona,INTERNACIONAL,"Gran Via de les Corts Catalanes, 668, 08010, Barcelona",0.0,0,40
Sushifresh,JAPONÉS,"Carrer d'Europa, 24, 08028, Barcelona",0.0,0,20
La Tagliatella Enric Granados,ITALIANO,"C/ Enric Granados, 63, 08008, Barcelona",8.1,286,18
Atenea - Aparthotel Atenea,MEDITERRÁNEO,"C/ Joan Guell, 207, 08028, Barcelona",0.0,0,32
Uchu,PERUANO,"Travessera de les Corts, 221, 08028, Barcelona",8.9,180,20
Mussol - Aragó,CATALÁN,"Carrer d'Aragó, 261, 08007, Barcelona",8.4,309,20
Inti&chaska,PERUANO,"Carrer d'Aragó, 211, 08011, Barcelona",8.9,267,14
LeccaBaffi,ITALIANO,"Carrer de Valencia, 341, 08009, Barcelona",8.9,349,30
New York,AMERICANO,"Carrer de Garcilaso, 165, 08027, Barcelona",0.0,0,18
Txapela Paseo de Gràcia 58,MEDITERRÁNEO,"Passeig de Gràcia, 58, 08007, Barcelona",7.8,42,12
Jumilla,MEDITERRÁNEO,"C/ Artesa de Segre, 6, 08022, Barcelona",8.4,80,15
Contracorrent Bar,MERCADO,"C. de Ribes, 35, 08013, Barcelona",0.0,4,18
El Colmadito de Sarrià,MEDITERRÁNEO,"Carrer Major de Sarrià, 12, 08017, Barcelona",9.2,16,25
Vermut Pérez,MEDITERRÁNEO,"Carrer Francesc Pérez Cabrero, 4, 08021, Barcelona",9.1,30,25
Ca l'Isidre,CATALÁN,"Carrer de les Flors, 12, 08001, Barcelona",8.9,214,65
D'Argento Barcelona,€,"Pg. de Sant Joan, 72, 08009, Barcelona",0.0,0,19
Mesón Pahi,MEDITERRÁNEO,"Carrer de Torroella de Montgrí, 7, 08027, Barcelona",0.0,0,25
LUX Molecular Cocktail Bar,ESPAÑOL,"Carrer d'Aragó, 221, 08007 Barcelona, Spain, 08007, Barcelona",0.0,0,20
Watatsumi,JAPONÉS,"Gran Via de les Corts Catalanes, 373, 08015, Barcelona",8.8,8,30
A Casa da Fonte,MEDITERRÁNEO,"Carrer de Sugranyes, 17, 08028, Barcelona",0.0,0,18
Casa Cabo,MEDITERRÁNEO,"Carrer de Ramon Turró, 19, 08005, Barcelona",8.8,15,25
Puntaromana,ITALIANO,"Carrer d'Enric Granados, 147, 08008, Barcelona",0.0,0,30
La Fonda,MEDITERRÁNEO,"Carrer dels Escudellers, 10, 08002, Barcelona",0.0,0,20
Aquarella Music Restaurant,MEDITERRÁNEO,"Gran Via Corts Catalanes, 572, 08011, Barcelona",0.0,0,25
Surf House Secret Spot,INTERNACIONAL,"Carrer d'Amigó, 53, 08021, Barcelona",0.0,0,15
El Sopar de L'Enigma,MEDITERRÁNEO,"Del Carme, 47, 08001, Barcelona",0.0,0,66
Sopars Medievals al Palau Requesens,MEDITERRÁNEO,"Bisbe Caçador, 4, 08002, Barcelona",0.0,0,73
El Templo del Placer - Barcelona,MEDITERRÁNEO,"Avenida Diagonal 203, 08018, Barcelona",0.0,0,45
La Burguesa - Tuset,AMERICANO,"Tuset, 15, 08006, Barcelona",9.0,3,20
L'Antic Magatzem,CATALÁN,"Aldana, 8, 08015, Barcelona",8.9,9,25
Casa Muyo,MEDITERRÁNEO,"Consejo de ciento, 424, 08013, Barcelona",0.0,0,25
King Potato,ITALIANO,"Moll d'Espanya, 5, 08039, Barcelona",0.0,0,25
La Tagliatella - Passeig Sant Joan,ITALIANO,"Passeig de Sant Joan, 54, 08009, Barcelona",7.9,153,18
A Tu Bola,MEDITERRÁNEO,"Carrer de l'Hospital, 78, 08001, Barcelona",0.0,0,9
Forastera,MEDITERRÁNEO,"Carrer de Sancho de Ávila, 22, 08018, Barcelona",0.0,0,20
Mutenroshi Gràcia,JAPONÉS,"Carrer de Sant Agustí, 10, 08012, Barcelona",0.0,0,10
Bananas,INTERNACIONAL,"Carrer de la Fusina, 7, 08003, Barcelona",0.0,0,30
Alsur Café,INTERNACIONAL,"C/ Carders, 17, 08003, Barcelona",8.7,229,20
Bagaría,ITALIANO,"Carrer Nou de la Rambla, 152, 08004, Barcelona",0.0,0,14
BELLAKO Sant Joan,TURCO,"Pg. de Sant Joan, 66, 08009, Barcelona",0.0,0,12
CARLITOS,MEDITERRÁNEO,"Carrer de Calvet, 50, 08021, Barcelona",8.8,426,25
Dal presidente gastro bar,ITALIANO,"Carrer de Calàbria, 93, 08015, Barcelona",0.0,0,20
The Clock Terrace,JAPONÉS,"Plaça d'Espanya, 6-8, 08014, Barcelona",8.4,9,25
Yamada Sushi,JAPONÉS,"Carrer Gran de Gràcia, 57, 08012, Barcelona",0.0,0,17
Tabarlot,CATALÁN,"Carrer de Sant Pau, 4, 08001, Barcelona",0.0,0,20
Bistro Triple Sec - Hotel Concordia,INTERNACIONAL,"Av. Paral·lel, 115, 08004, Barcelona",0.0,0,16
Salt - Hotel W Barcelona,INTERNACIONAL,"Paseo Mare Nostrum, 08039, Barcelona",0.0,0,40
Go Beach Club Restaurant,MEDITERRÁNEO,"Carrer Port Esportiu, 14P, 08930, Barcelona",0.0,0,35
Fire - Hotel W Barcelona,ASADOR,"Plaça Rosa Del Vents 1, Final, Passeig de Joan de Borbó, 08039, Barcelona",8.8,42,65
Tapas 24 Camp Nou by Carles Abellán,MEDITERRÁNEO,"C. d'Aristides Maillol, 8-16, 08028, Barcelona",0.0,0,20
La Burguesa - Fleming,AMERICANO,"Carrer del Dr. Fleming, 27, 08017, Barcelona",8.6,15,20
AKELARRE,€,"Carrer de Déu i Mata, 104, 08029, Barcelona",8.2,3,12
Hall0 Cocktail Bar - Monument Hotel 5*GL,MEDITERRÁNEO,"Passeig de Gràcia, 75, 08008, Barcelona",0.0,0,40
Seventeen - Hotel Olivia Balmes,MEDITERRÁNEO,"Carrer de Balmes, 115-117, 08008, Barcelona",0.0,0,25
El Palacio del Flamenco,ESPAÑOL,"C/ Balmes, 139, 08008, Barcelona",0.0,0,60
Sanaa,MEDITERRÁNEO,"Carrer de Bilbao, 30, 08005, Barcelona",7.3,70,30
L'Havana,MEDITERRÁNEO,"Carrer del Lleó, 1, 08001, Barcelona",8.4,63,22
L'Antica Pizzeria da Michele,ITALIANO,"C. del Consell de Cent, 336, 08009, Barcelona",0.0,4,20
Balthazar,MEDITERRÁNEO,"Carrer del Rosselló, 189, 08036, Barcelona",8.9,131,20
LOCAL kitchen & bar,MEDITERRÁNEO,"Carrer de Casp, 92, 08010, Barcelona",0.0,0,15
Sopar dels Sentits,MEDITERRÁNEO,"Carrer del Carme, 47, 08001, Barcelona",0.0,0,73
Farola,ITALIANO,"Carrer del Rec, 67, 08003, Barcelona",9.2,3,12
Carpe Diem Lounge Club,FUSIÓN,"Passeig Maritim, 32, 08003, Barcelona",7.9,9,34
El Rebost de la Lola,MERCADO,"Carrer de Sant Joan de Malta, 125, 08018, Barcelona",0.0,0,25
Mil hojas,MEDITERRÁNEO,"Carrer de Muntaner, 423, 08021, Barcelona",0.0,0,20
Can Tresó,MEDITERRÁNEO,"Carrer d'Astúries, 18, 08012, Barcelona",0.0,0,20
Arcano,MEDITERRÁNEO,"C/ Mercaders, 10, 08003, Barcelona",0.0,0,25
Niu llar,ASADOR,"Carrer del Tenor Masini, 22, 08028, Barcelona",8.0,4,20
MOOD Rooftop Bar - Hotel The One,ESPAÑOL,"Carrer de Provença, 277, 08037, Barcelona",0.0,0,35
Versalles,MEDITERRÁNEO,"Carrer Gran de Sant Andreu, 255, 08030, Barcelona",8.5,227,22
Delirium,ESPAÑOL,"Carrer de los Castillejos, 265, 08013, Barcelona",0.0,0,10
Origen,MEDITERRÁNEO,"Carrer de Pallars, 121, 08018, Barcelona",0.0,0,20
La Tagliatella Las Arenas,€,"C/ Gran Vía de les Corts Catalanes, 373-385, 08015, Barcelona",7.8,301,18
La Riera,VEGETARIANO,"C/ Regente Mendieta, 15, 08028, Barcelona",0.0,0,15
A Tavola,ITALIANO,"Plaça Eivissa, 2, 08032, Barcelona",0.0,0,16
A Cañota,GALLEGO,"C/ Indústria, 314, 08026, Barcelona",0.0,0,76
Ponsa,MEDITERRÁNEO,"Carrer d'Enric Granados, 89, 08008, Barcelona",0.0,0,25
Eat Caribbean Barcelona,€,"Carrer de Montserrat, 4, 08001, Barcelona",6.5,148,15
Delirio Barcelona,MEDITERRÁNEO,"Carrer dels Banys Nous, 8, 08002, Barcelona",0.0,0,25
El Racó - Maremagnum,ITALIANO,"Moll d'Espanya, 5, 08039, Barcelona",0.0,0,18
ÖUZÖ Barcelona,ESPAÑOL,"Rambla de Fabra i puig 66 local, 08030, Barcelona",0.0,0,25
SIFO,ARGENTINO,"C/Espalter, 4,, 08001, Barcelona",0.0,0,16
Pur - Nandu Jubany,MEDITERRÁNEO,"Passatge de la Concepció, 11, 08008, Barcelona",0.0,0,80
Empire Barcelona,MEDITERRÁNEO,"Moll de Gregal, 25, 08005, Barcelona",8.0,13,30
Timesburg Casanova,AMERICANO,"Carrer de Casanova, 246, 08036, Barcelona",0.0,0,14
Ramen Bcn,JAPONÉS,"Carrer de Girona, 108, 08009, Barcelona",7.9,562,15
Chaka Khan,INTERNACIONAL,"Carrer de l'Hospital, 104, 08001, Barcelona",0.0,0,18
Bonanova,MEDITERRÁNEO,"Carrer de Sant Gervasi de Cassoles, 103, 08022, Barcelona",0.0,0,60
Taller de Tapas - Josep Oriol,ESPAÑOL,"Plaça de Sant Josep Oriol, 9, 08002, Barcelona",0.0,0,15
La Dentellière,MEDITERRÁNEO,"Carrer Ample, 26, 08002, Barcelona",0.0,0,24
Garlana,€,"C/ del Capitán Arenas, 27, 08034, Barcelona",0.0,0,17
Barraca,ARROCERÍA,"Passeig Marítim Barceloneta, 1, 08003, Barcelona",0.0,0,30
St. Gallen,MEDITERRÁNEO,"C/ Diputació, 264, 08007, Barcelona",0.0,0,32
Silvestre,ESPAÑOL,"Carrer de Santaló, 101, 08021, Barcelona",0.0,0,40
La Isabela - Hotel 1898,MEDITERRÁNEO,"La Rambla, 109, 08002, Barcelona",0.0,0,30
Nineteen - Hotel Olivia Plaza,MEDITERRÁNEO,"Plaza Catalunya, 19, 08002, Barcelona",0.0,0,25
Flora Restaurant,EUROPEO,"Carrer de les Jonqueres, 10, 08003, Barcelona",8.6,7,20
Sopars amb Estrelles,CREATIVO,"Camí de l'Observatori s/n (Ctra. De Vallvidrera), 08035, Barcelona",7.4,6,73
Patio Andaluz,ESPAÑOL,"Carrer de Fastenrath, 14, 08035, Barcelona",8.0,16,20
La Carioca,FUSIÓN,"Plaça de Pau Vila 1, 08039, Barcelona",0.0,0,15
Bibimbap,COREANO,"Carrer de Balmes, 331, 08006, Barcelona",0.0,0,15
Rainbow Buffet,JAPONÉS,"Carrer de Casanova, 42, 08011, Barcelona",7.9,1884,15
Yotcha!,CHINO,"Carrer del Taquígraf Martí, 17, 08028, Barcelona",0.0,0,15
Mamma Lucia,€,"Carrer de Galileu, 169, 08028, Barcelona",0.0,0,20
Ale&Hop,MEDITERRÁNEO,"Carrer de les Basses de Sant Pere, 10B, 08003, Barcelona",0.0,0,15
Beer'linale,MEDITERRÁNEO,"Carrer del Carme, 7, 08001, Barcelona",0.0,0,20
Cecconi's,€,"Passeig de Colom, 20, 08002, Barcelona",0.0,0,35
